Date,Strategy,Daily_Return,Equity,Drawdown
2024-06-03,Inverse_Volatility_Targeted,-0.01239431238789292,0.9876056876121071,-0.012394312387892903
2024-06-03,MVO_Constrained,-0.014699307308782661,0.9853006926912173,-0.014699307308782661
2024-06-03,Week5_Baseline,-0.010220302720091988,0.989779697279908,-0.010220302720092
2024-06-03,Week6_Optimized,-0.013265042738706842,0.9867349572612931,-0.013265042738706878
2024-06-04,Inverse_Volatility_Targeted,-0.004029060137587024,0.983626564904495,-0.01637343509550504
2024-06-04,MVO_Constrained,-0.00491603987046646,0.9804569152015491,-0.019543084798450905
2024-06-04,Week5_Baseline,-0.0030942228421347385,0.9867170983319032,-0.013282901668096758
2024-06-04,Week6_Optimized,-0.004379523121578168,0.9824135287010978,-0.01758647129890223
2024-06-05,Inverse_Volatility_Targeted,0.009648125351831903,0.9931167173020854,-0.0068832826979146056
2024-06-05,MVO_Constrained,0.00881881983951118,0.9891033880971144,-0.0108966119028856
2024-06-05,Week5_Baseline,0.01230264720541924,0.9988563306842356,-0.001143669315764373
2024-06-05,Week6_Optimized,0.00904142082006784,0.9912959428334122,-0.008704057166587842
2024-06-06,Inverse_Volatility_Targeted,0.0012380429628690685,0.9943462384652489,-0.005653761534751056
2024-06-06,MVO_Constrained,0.0018029810227884796,0.9908867227354292,-0.009113277264570785
2024-06-06,Week5_Baseline,0.00046634952095871325,0.9993221468555568,-0.0006778531444432412
2024-06-06,Week6_Optimized,0.001488886076899119,0.9927718695607834,-0.007228130439216551
2024-06-07,Inverse_Volatility_Targeted,-0.0010385020194778418,0.9933136078885426,-0.006686392111457384
2024-06-07,MVO_Constrained,-0.00146095151215112,0.9894390852794784,-0.010560914720521564
2024-06-07,Week5_Baseline,-0.0004764049220921879,0.998846064866039,-0.0011539351339610038
2024-06-07,Week6_Optimized,-0.0012237330519752642,0.9915569818109305,-0.008443018189069451
2024-06-10,Inverse_Volatility_Targeted,0.005010035646682557,0.9982901444723989,-0.0017098555276010563
2024-06-10,MVO_Constrained,0.00555431790492116,0.994934744506675,-0.005065255493325038
2024-06-10,Week5_Baseline,0.004773185611668115,1.003613742531129,0.0
2024-06-10,Week6_Optimized,0.005172310047078266,0.9966856219502017,-0.0033143780497982833
2024-06-11,Inverse_Volatility_Targeted,0.0071022229085111075,1.0053802236058118,0.0
2024-06-11,MVO_Constrained,0.00624800109117088,1.0011510978759965,0.0
2024-06-11,Week5_Baseline,0.00946013377901198,1.013108062797928,0.0
2024-06-11,Week6_Optimized,0.006536272890433337,1.0032002311612394,0.0
2024-06-12,Inverse_Volatility_Targeted,0.0041382477293051825,1.009540736033237,0.0
2024-06-12,MVO_Constrained,0.002416155327539541,1.0035700344348015,0.0
2024-06-12,Week5_Baseline,0.007540693724245313,1.0207476004090508,0.0
2024-06-12,Week6_Optimized,0.003209037317609656,1.0064195381400705,0.0
2024-06-13,Inverse_Volatility_Targeted,-0.0012662154158671422,1.0082624399903257,-0.0012662154158671335
2024-06-13,MVO_Constrained,-0.0023320732572883396,1.0012296355956802,-0.0023320732572883474
2024-06-13,Week5_Baseline,0.00033167844413355477,1.0210861603850077,0.0
2024-06-13,Week6_Optimized,-0.0017617230023151517,1.0046465056897498,-0.0017617230023150299
2024-06-14,Inverse_Volatility_Targeted,-0.00219840092377735,1.006045874910841,-0.003461832690504596
2024-06-14,MVO_Constrained,-0.0029653596625546794,0.9982606296213304,-0.005290517483875767
2024-06-14,Week5_Baseline,-0.0012194523924535035,1.0198409944238251,-0.0012194523924533573
