Strategy,Daily_Observations,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_0RF,Max_Drawdown,Average_Gross_Exposure,Average_One_Way_Turnover
Inverse_Volatility_Targeted,532,0.24465440852716136,0.1092338317235495,0.13442563502102925,0.8387918012829907,-0.170006571060352,0.6139777505796014,0.4367882935221917
MVO_Constrained,532,0.33049196406408,0.1448343390161011,0.16753275458163397,0.8919179986737492,-0.21602859571531896,0.7120000000000001,0.4833333333333334
Week5_Baseline,532,0.3503157942591957,0.15288281239377066,0.1612507795107137,0.9636001785024988,-0.20381339637523677,0.7119999999999999,0.4871765431942803
Week6_Optimized,532,0.25062336259891405,0.11175043276540153,0.13049426551745094,0.8774952068371074,-0.16930193562097517,0.5679997909054272,0.39935192762637656
