Signal_Date,Strategy,Asset,Target_Weight,Selected,Outperformance_Probability,Sector_Rank,Rank_Score_0_1,Macro_Regime,model
2025-01-31,Probability_Score_Weighted,XLE,0.3475650230011809,True,0.4831073461335636,2.0,0.5,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-01-31,Probability_Score_Weighted,XLF,0.282972898599656,True,0.3933257866104016,3.0,0.0,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-01-31,Probability_Score_Weighted,XLK,0.369462078399163,True,0.5135437468683487,1.0,1.0,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-02-28,Probability_Score_Weighted,CASH,0.0,False,,,,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-02-28,Probability_Score_Weighted,XLE,0.37107268546584804,True,0.5353676985374081,1.0,1.0,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-02-28,Probability_Score_Weighted,XLF,0.3522328543915162,True,0.5081864011847446,2.0,0.5,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-02-28,Probability_Score_Weighted,XLK,0.27669446014263577,True,0.3992028573556839,3.0,0.0,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-03-31,Probability_Score_Weighted,CASH,0.0,False,,,,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-03-31,Probability_Score_Weighted,XLE,0.3867280446841112,True,0.5837665303556464,1.0,1.0,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-03-31,Probability_Score_Weighted,XLF,0.3801224895825756,True,0.5737954355884018,2.0,0.5,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-03-31,Probability_Score_Weighted,XLK,0.23314946573331316,True,0.3519394482409018,3.0,0.0,Growth=Expansion|Inflation=Moderate|Rate=Falling,Gradient_Boosting
2025-04-30,Probability_Score_Weighted,CASH,0.0,False,,,,Growth=Contraction|Inflation=Moderate|Rate=Stable,Gradient_Boosting
2025-04-30,Probability_Score_Weighted,XLE,0.3130958886695933,True,0.3979906807956273,3.0,0.0,Growth=Contraction|Inflation=Moderate|Rate=Stable,Gradient_Boosting
