Total_Friction_Bps_Per_Risky_Dollar_Traded,Transaction_Cost_Bps,Slippage_Bps,Total_Return,CAGR,Sharpe_0RF,Sortino_0MAR,Max_Drawdown,Total_Trading_Cost_Fraction
0.0,0.0,0.0,0.25742831694669266,0.11461180459426434,0.9001234712603874,1.2114620331617683,-0.17684617038663764,0.0
5.0,2.5,2.5,0.24855429374252846,0.11087879944944423,0.8740049879717333,1.175107530151769,-0.17858679255762167,0.007080867017060226
10.0,5.0,5.0,0.239739341758191,0.10715679274774592,0.8478422670497144,1.13875674043676,-0.1803243877943811,0.014161734034120452
20.0,10.0,10.0,0.2222851735976712,0.09974566204886326,0.7954089766218496,1.0660920546094985,-0.1837905142864431,0.028323468068240903
40.0,20.0,20.0,0.18806955668772307,0.08505414655068555,0.6902850301003942,0.9211121180113255,-0.19068662884218412,0.05664693613648181
