Strategy,Daily_Observations,Total_Return,CAGR,Annualized_Volatility,Sharpe_0RF,Sortino_0MAR,Max_Drawdown,Daily_Win_Rate,Rebalance_Count,Total_One_Way_Turnover,Average_One_Way_Turnover,Annualized_One_Way_Turnover,Total_Trading_Cost_Fraction
Week7_Strategy_Net,532,0.239739341758191,0.10715679274774592,0.13011692845497938,0.8478422670497144,1.13875674043676,-0.1803243877943811,0.4868421052631579,25,10.5554429304895,0.42221771721958,4.9999466512845,0.014161734034120452
SPY_Benchmark,532,0.44626908921621644,0.19098823234306317,0.1661585511047431,1.1346451309414087,1.6812959919973127,-0.18755242718230247,0.5714285714285714,0,0.0,0.0,0.0,0.0
Equal_Weighted_Sectors,532,0.5231654576910167,0.2205748227887887,0.17010668598008535,1.2572016424181034,1.7823534038180822,-0.19114135985783087,0.5695488721804511,0,0.0,0.0,0.0,0.0
