feature,importance_mean,importance_std
Rank_MACD_Hist_Pct,0.03787661406025829,0.04045275039807775
Relative_MACD_Hist_Pct,0.03174318507890965,0.029300121418201933
Sector,0.03038020086083215,0.030270153130847775
Market_Mean_MACD_Hist_Pct,0.022740315638450546,0.024349700457476958
Rank_Rolling_Return_60D,0.01954806312769014,0.02459888920347784
Inflation_YoY,0.01857962697274036,0.01218541262573208
Rank_RSI_14,0.01764705882352944,0.023546355483836615
Market_Mean_Rolling_Return_20D,0.016857962697274066,0.006615678399830469
Rolling_Volatility_60D,0.01535150645624105,0.01561787044351501
Rolling_Return_60D,0.014347202295552374,0.020945195582003494
Inflation_Regime,0.012230989956958437,0.014447684358607698
Market_Mean_RSI_14,0.011728837876614084,0.007239741720504827
Market_Mean_Rolling_Return_60D,0.011477761836441914,0.009346351664846065
Relative_Rolling_Return_60D,0.011154949784791979,0.04304473027882957
Growth_Regime,0.009325681492109083,0.018898048597301976
Market_Mean_Momentum_20D,0.008787661406025837,0.005799646905973553
RSI_14,0.007819225251076057,0.006449861346625273
Rank_Rolling_Volatility_20D,0.006850789096126275,0.020613620940396763
Relative_Rolling_Volatility_20D,0.006814921090387382,0.01634101623934855
GDP_Growth,0.006348637015781944,0.012234145093031978
Market_Mean_Rolling_Volatility_20D,0.0058823529411765165,0.012135053345073454
FedFunds_Rate,0.005882352941176494,0.00720438159642114
MACD_Hist_Pct,0.005129124820659981,0.01871612336179646
Rolling_Volatility_20D,0.004913916786226746,0.013391837633731975
Rank_Momentum_20D,0.0024390243902439046,0.004878048780487809
Rank_Rolling_Return_20D,0.0024390243902439046,0.004878048780487809
Relative_Rolling_Return_20D,0.0009325681492109106,0.027733739521702005
Momentum_20D,0.0004662840746054497,0.01501413470042335
Relative_Momentum_20D,0.00043041606886656814,0.02493009602796966
MACD_Signal_Pct,-0.000502152080344298,0.025802636609889643
Rolling_Return_5D,-0.0009684361549497589,0.01401521383875854
Rolling_Return_20D,-0.00297704447632714,0.020186423131117424
Relative_RSI_14,-0.005129124820659947,0.01109249610136016
Daily_Return,-0.006276901004304114,0.015660194760198136
Rate_Regime,-0.010473457675753172,0.011642248565992948
MACD_Pct,-0.01219512195121949,0.0269659665171774
