model,mean_accuracy,mean_balanced_accuracy,mean_precision,std_precision,mean_f1,mean_roc_auc,std_roc_auc,mean_ranking_correlation,std_ranking_correlation,valid_folds
Gradient_Boosting,0.4541666666666667,0.4532041645954689,0.46696730416304455,0.07122114839648905,0.49803098667731194,0.4727775724007608,0.10098862658284843,-0.04375,0.2323874055322276,5
Random_Forest,0.4416666666666667,0.4381938673243021,0.45515777326122153,0.08762573590413446,0.46990196078431373,0.47090498551368115,0.0917563255438214,-0.05,0.14079850407586011,5
Soft_Voting_Ensemble,0.4583333333333333,0.45881179046396436,0.47682027649769587,0.072336580355482,0.5106283945202098,0.46790618292067565,0.08784595530489674,-0.04375,0.23027666783675677,5
Logistic_Regression,0.4791666666666667,0.4747971802754411,0.47544967284125894,0.1027984127162159,0.49179666119321286,0.45819667718218443,0.050884713078161906,-0.00625,0.15372967345311053,5
Regime_Switching_Ensemble,0.4583333333333333,0.45775358940576333,0.47655913978494624,0.07408984493153849,0.5139391793191979,0.4566187049665311,0.08457423971182425,-0.05625,0.21125554726444465,5
